step,timestamp,hour,price,action,act_type,soc_before,new_soc,grid_mwh,cash,spread,degradation,is_spike
2620,2025-10-10 05:30:00,5,26.38,0.001562626101076603,hold,0.052068278193473816,0.052099503576755524,-0.0032554710439095893,-0.08587932613833496,-0.0070643721652838025,0.0032554710439095893,False
2621,2025-10-10 05:35:00,5,26.83,0.008871287107467651,hold,0.052099503576755524,0.05227677524089813,-0.018481848140557606,-0.4958679856111605,-0.04842244212826088,0.018481848140557606,False
2622,2025-10-10 05:40:00,5,26.83,0.014043501578271389,hold,0.05227677524089813,0.05255740135908127,-0.02925729495473206,-0.7849732236354612,-0.07665411278139793,0.02925729495473206,False
2623,2025-10-10 05:45:00,5,26.76,0.002534839790314436,hold,0.05255740135908127,0.052608054131269455,-0.005280916229821742,-0.1413173183100298,-0.013466336386045445,0.005280916229821742,False
2624,2025-10-10 05:50:00,5,26.27,0.010802105069160461,hold,0.052608054131269455,0.052823908627033234,-0.02250438556075096,-0.5911902086809278,-0.04635903425514695,0.02250438556075096,False
2625,2025-10-10 05:55:00,5,27.9,-5.179671279620379e-05,hold,0.052823908627033234,0.0528227835893631,0.00010790981832542457,0.0030106839312793454,0.0003981872296208164,0.00010790981832542457,False
2626,2025-10-10 06:00:00,6,26.0,0.02956070378422737,hold,0.0528227835893631,0.05341348424553871,-0.06158479955047369,-1.601204788312316,-0.11023679119534785,0.06158479955047369,False
2627,2025-10-10 06:05:00,6,26.68,0.046962492167949677,hold,0.05341348424553871,0.054351918399333954,-0.09783852534989515,-2.6103318563352027,-0.24166115761424092,0.09783852534989515,False
2628,2025-10-10 06:10:00,6,27.67,0.04800853133201599,hold,0.054351918399333954,0.055311255156993866,-0.10001777360836664,-2.767491795743505,-0.3460614966849487,0.10001777360836664,False
2629,2025-10-10 06:15:00,6,28.77,0.01919129304587841,hold,0.055311255156993866,0.05569474771618843,-0.039981860512246684,-1.150278126937337,-0.18231728393584481,0.039981860512246684,False
2630,2025-10-10 06:20:00,6,26.94,0.03850693255662918,hold,0.05569474771618843,0.056464217603206635,-0.08022277615964413,-2.161201589740813,-0.2190081789158285,0.08022277615964413,False
